t_s,ratio_rr,spo2_index
35.233333333333334,0.6570194213028836,100.0
35.266666666666666,0.6590952357790113,100.0
35.3,0.6611805598820829,100.0
35.333333333333336,0.6630386646736047,100.0
35.36666666666667,0.6643768229098519,100.0
35.4,0.6652889803857707,100.0
35.43333333333333,0.6660075229695447,100.0
35.46666666666667,0.6674829327563566,100.0
35.5,0.669465184803047,100.0
35.53333333333333,0.6720968470169326,100.0
35.56666666666667,0.6754158036563379,100.0
35.6,0.6794017290458847,100.0
35.63333333333333,0.6832244878033065,100.0
35.666666666666664,0.6868575634753618,100.0
35.7,0.6902352782283959,100.0
35.733333333333334,0.6933713181771828,100.0
35.766666666666666,0.6964212115479972,100.0
35.8,0.6995784730483189,100.0
35.833333333333336,0.7028298389727944,100.0
35.86666666666667,0.7061266745054433,100.0
35.9,0.7096796272448043,100.0
35.93333333333333,0.714168155140956,100.0
35.96666666666667,0.7195838812670768,100.0
36.0,0.72563839378202,100.0
36.03333333333333,0.7322368035030115,100.0
36.06666666666667,0.7382431726902523,100.0
36.1,0.7433461817560945,100.0
36.13333333333333,0.7473318125360268,100.0
36.166666666666664,0.7500345554725554,100.0
36.2,0.7519378716486387,100.0
36.233333333333334,0.7533350587158593,100.0
36.266666666666666,0.7552188996570616,100.0
36.3,0.7576608511515864,100.0
36.333333333333336,0.7606944779623018,100.0
36.36666666666667,0.7645991028311311,100.0
36.4,0.7697493836121263,100.0
36.43333333333333,0.775196804113641,100.0
36.46666666666667,0.7809062555359935,100.0
36.5,0.786741365575107,100.0
36.53333333333333,0.7927392480515023,100.0
36.56666666666667,0.798984596154794,100.0
36.6,0.8051966579121684,100.0
36.63333333333333,0.8104426958919788,100.0
36.666666666666664,0.8148349350902225,100.0
36.7,0.818677217874254,100.0
36.733333333333334,0.8223879607558728,100.0
36.766666666666666,0.8269760760456671,100.0
36.8,0.8326896263255386,100.0
36.833333333333336,0.8398986188838239,100.0
36.86666666666667,0.848405961452804,100.0
36.9,0.8579978192079286,100.0
36.93333333333333,0.866953033507516,100.0
36.96666666666667,0.8744014701217234,100.0
37.0,0.8803201384220151,99.99199653944963
37.03333333333333,0.8846609988300373,99.88347502924907
37.06666666666667,0.8871590394481567,99.82102401379608
37.1,0.888078220928761,99.79804447678097
37.13333333333333,0.8889771351090648,99.77557162227338
37.166666666666664,0.8899309410718885,99.75172647320278
37.2,0.8908602441123629,99.72849389719093
37.233333333333334,0.8916161564772696,99.70959608806827
37.266666666666666,0.8919143957345463,99.70214010663634
37.3,0.8917673858333244,99.70581535416689
37.333333333333336,0.8912436823149935,99.71890794212516
37.36666666666667,0.8902602751955245,99.74349312011189
37.4,0.8888349180982392,99.77912704754402
37.43333333333333,0.8860623182823039,99.84844204294241
37.46666666666667,0.8816082000204245,99.95979499948939
37.5,0.8759350973093606,100.0
37.53333333333333,0.8691273224864409,100.0
37.56666666666667,0.8620531859816567,100.0
37.6,0.8547067698496065,100.0
37.63333333333333,0.8484558702253848,100.0
37.666666666666664,0.8430753886097607,100.0
37.7,0.8384920007802987,100.0
37.733333333333334,0.8346576535358097,100.0
37.766666666666666,0.8314460179163677,100.0
37.8,0.8282735674293281,100.0
37.833333333333336,0.824576947897006,100.0
37.86666666666667,0.8202791179563602,100.0
37.9,0.8152781860713819,100.0
37.93333333333333,0.8099587304390943,100.0
37.96666666666667,0.8046062767926122,100.0
38.0,0.799320243364002,100.0
38.03333333333333,0.7940899581361742,100.0
38.06666666666667,0.7887696212377057,100.0
38.1,0.7834829525327891,100.0
38.13333333333333,0.7790364801388233,100.0
38.166666666666664,0.7757070900542967,100.0
38.2,0.7731275329764417,100.0
38.233333333333334,0.7706921564867858,100.0
38.266666666666666,0.767723169386049,100.0
38.3,0.7640791051205708,100.0
38.333333333333336,0.7598626535797477,100.0
